Reference,Value,Qty,Order,DNP,CatNo,MfgNo
C1,0.1uF,1,10,,399-C1206C104K5RAC7800CT-ND,C1206C104K5RAC7800
"D1,D2",LED,2,10,,732-5013-ND,151033RS03000
DS1,RC1602A,1,3,,4411-CN0293-ND,CN0293
J1,Conn_02x03_Odd_Even,1,5,,2057-PH2-06-UA-ND,PH2-06-UA
J2,Conn_01x06,1,5,,2057-PH1-06-UA-ND,PH1-06-UA
N1,Knob,1,3,,1568-1838-ND,COM-10597
R1,10k,1,10,,311-10.0KFRCT-ND,RC1206FR-0710KL
"R2,R3,R4,R5,R6",470,5,25,,A106077CT-ND,CRG1206F470R
RV1,10k,1,3,,3266W-103LF-ND,3266W-1-103LF
"SW1,SW2,SW3,SW4",SW_Push,4,12,,CH160-ND,MX1A-11NW
SW5,COM-15140,1,3,,PEL12D-4225S-S2024-ND,PEL12D-4225S-S2024
U3,ATmega328-P,1,3,,ATMEGA328P-PU-ND,ATMEGA328P-PU
